personLabel,personDescription
Lilla Irvin Leach,American botanist and botanical collector (1886-1980)
Yewande Olubummo,Nigerian-American mathematician
Elide Pereira dos Santos,Brazilian woman botanist and taxonomist
Greta Woxén,schwedische Zivilingenieurin
Draga Ljocic-Milosevic,Serbian feminist and physician
Petronella Johanna de Timmerman,Dutch poet and scientist
Gloria Gordon Bolotsky,American computer scientist
Ann T. Nelms,African-American nuclear physicist
Camille Dow Baker,"engineer, humanitarian"
Xie Chen,Chinese physicist
Nina Starr Braunwald,American thoracic surgeon and medical researcher
Sandi Metz,"American programmer, teacher and consultant"
Mathilde Lange,American biologist
Maude Delap,Irish marine biologist (1866-1953)
Celine Gounder,American medical doctor and medical journalist
Fanny Hesse,German biologist (1850-1934)
Sophie LaRochelle,engineer and university professor
Galina Khitrova,Russian-American physicist
Jannie Borst,Dutch cancer immunologist
Emmeline Moore,American biologist
Hanneke Jansen,Computational chemist
Jill P. Mesirov,"American mathematician, computer scientist, and computational biologist"
Kate Granger,English doctor and campaigner for better patient care
Valeria H. Parker,American physician and suffragette
Gudrun Alm Carlsson,Swedish physicist
Hilary Kahn,British computer scientist
Gaiti Hasan,Indian Scientist
Julia Kempe,"French, German, and Israeli researcher in quantum computing"
Lisa Fauci,American mathematician
Gerardine DeSanctis,American organizational theorist
Ilse Ipsen,German mathematician
Donna Haraway,scholar in the field of science and technology studies
Inna Aznauryan,Armenian physicist
Concepción Llaguno Marchena,Spanish scientist and chemist
Karena Mendes Pimenta,"Botánica, taxónoma, y agrostóloga brasileña"
Lisi Dámaris Pereira Alvarenga,Brazilian woman bryologist & botanist
Maria do Carmo Estanislau do Amaral,Brazilian woman botanist
Montserrat Calleja Gómez,Spanish scientist and physicist
Rosana Farias Singer,Brazilian  botanist and taxonomist
Susana Marcos Celestino,"Spanish scientist, physicist and physiologist"
Fanny Currey,Irish horticulturalist and watercolour painter (1848-1917)
Sandra L. Baldauf,researcher
Ruth Lynden-Bell,British chemist and educator
Lavinia Taverna,botanist (1924-1997)
Shahinaz Abdel Salam,personne
Tatyana Satyukova,russische Ärztin
Stefanie Horovitz,Polish chemist
Marilyn E. Jacox,American physicist (1929-2013)
Claudia de Rham,Swiss theoretical cosmologist
Fanny Hoppe-Moser,Swiss zoologist (1872-1953)
Karin Lochte,"German oceanographer, researcher, and climate change specialist"
Salome Gluecksohn-Waelsch,German-born US developmental geneticist (1907-2007)
Marija Ozols,Latvian physician
Henrike Heise,German chemist
Rhoda Erdmann,German biologist
Judith Magyar Isaacson,"educator, author, and human rights advocate"
Mary Ann E. Feist,botanist
Ana Aslan,Romanian biologist and physician
Ana Janer,first from Puerto Rico to earn a medical degree
Elizebeth Smith Friedman,American cryptanalyst and author
Eva Crane,British nuclear physicist and bees and beekeeping scientist
Lenka Kotková,"Czech astronomer, asteroid discoverer"
Margaret Chan,Director-General of the World Health Organization
Mary Ellen Weber,"American executive, scientist, aviator, speaker, and a former NASA astronaut"
Keti Tenenblat,Turkish-Brazilian mathematician
Iolanda Cintura,Mozambican chemist and politician
Frances Adams Le Sueur,"botanist, ornithologist, and conservationist on the Channel Island of Jersey (1919-1995)"
Pamela Woods,British botanist
Juliana Santos-Silva,Brazilian botanist
Wei-Shau Hu,American geneticist
Margarita Marinova,Bulgarian-born Canadian aeronautical engineer
Ruth Misener,American computer scientist and academic
Gudrun Stockmanns,German university teacher
Rosemary Candlin,Scottish computer scientist
Heide Gluesing-Luerssen,German mathematician
Laura M Herz,Physicist
Gila Fruchter,Israeli mathematician
Katherine Jones,biochemist
Beverley Glover,British biologist specialising in botany
Peretta Peronne,Early unlicensed female surgeon
Yolande Monteux,French physicist
Sarah Glaz,mathamatician and poet
Èleonora Mikhaïlovskaïa,biologist
Ameenah Gurib-Fakim,scientist and president of Mauritius
Lenka Záveská Drábková,researcher
Clare Butterworth Hardham,American botanist (1918-2010)
Ida Hoff,Swiss physician (1880-1952)
Maryam Sadeghi,Canadian scientist and entrepreneur
Sitara Begum,"Bangladeshi doctor, army officer and war heroine"
Edith Hirsch Luchins,mathematician
Eveline Fischer,British video game music composer
Daniela Rhodes,British structural and molecular biologist
Mary Leach,American chemist
Julianne Dalcanton,American astronomer
Lilijana Kornhauser Cerar,طبيبة سلوفينية
Sofía Albesiano,botanist
Vivian Rose Brownell,botanist
Lucie-Aimée Kaffee,computer scientist and Wikimedian
Denise Stephens,American astronomer
Elizabeth Frances Cope,American mathematician
Anna Marciniak-Czochra,Polish mathematician
Jennifer S. Brodbelt,American chemist
Jessica Hammer,American computer scientist
Kathrin Sonnenholzner,German politician
Dr. Eva Orsmond,Weight loss expert
Ulrike Diebold,Austrian physicist
Emilie Lehmus,German physician
Natalia Toro,American particle physicist
Eliza Amy Hodgson,New Zealand botanist (1888 - 1983)
Victoria Cowling,English biologist
Apala Majumdar,British applied mathematician
Jennifer Rexford,American computer scientist
Dianne P. O'Leary,"American mathematician, computer scientist"
Nellie May Naylor,American chemist
Felicity Okpete Ovai,"Nigerian engineer, civil servant, politician"
Sharon Hammes-Schiffer,American chemist
Gisela Mosig,German biologist
Nalini Nadkarni,American ecologist
Maricela Cobuz,Romanian politician
Alison Woollard,British scientist
Jennifer Anne Chappill,Australian botanist (1959-2006)
Isabel Hubard Escalera,Mexican mathematician
Evelyn Buckwar,German mathematician
Silvia Tersinha Sfoggia Miotto,Brazilian botanist (1952-1999)
Margalida Segura Segura,spanische Ärztin
Mildred Barnard,"Australian biometrician, mathematician and statistician"
Seda Petrossian,engineer-builder
Mariya Petrovna Rempell,Russian engineer
Isabel Emslie Hutton,British doctor
Véronique Newland,ingeniera francesa
Bettina V. Lotsch,researcher
Anna Leonidovna Averyanova,botanist
Caroline L. Gross,botanist
Dana Gove Griffin,botanist
Birgit Vogel-Heuser,German computer scientist and professor
Fabíola Feres,botanist
Gui Qin Huang,botanist
Helga Rasbach,botanist
Ingrid Riedl,botanist
Josiane Guiard,botanist
Kathleen Burt-Utley,botanist
Madeleine Stehlé,botanist
Maria Helena Ramos Lopes,botanist
Noemí Quispe,botanist
Helena Shovelton,British physician
Pamela Scraton,botanist
Patricia Eckel,American botanist
Patricia Blackwell Cox,botanist
Rosa Maria Lo Presti,botanist
Susan G. Forrester,botanist
Valentina Alekseevna Koroleva,botanist
Magdalena Gabig-Cimińska,Polish molecular biologist
Zofia Szmydt,Polish mathematician
Margaret Seward,"1864–1929, UK scientist and university teacher"
Eva Lokko,Ghanaian Engineer and Television Executive
Flor Muñoz Rivas,Guatemalan doctor
Bengi Semerci,Turkish physician and psychiatrist
Avelina Adelma Gossweiler,طبيبة أرجنتينية
Carmen Acuña,spanische Ärztin und Politikerin
Ariela Luna,Peruvian surgeon and politician
Marthe Ernst-Schwarzenbach,(1900-1967)
Helen Dodson Prince,American astronomer
Linda Nedbalová,"Czech Antarctic researcher, phycologist"
Nadia Zakamska,Russian-American astronomer
Suzanne Jannin,"French dentist and aviator, resistance and WW2 hero"
Malgorzata Stpiczyńska,Polish botanist
Kim E Jelfs,researcher
Evelyn Groesbeeck Mitchell,"American entomologist, medical doctor and social reformer"
Jasna Jakobsen,Norwegian wind engineer
Júlia Balázs,Hungarian astronomer
Ebru Yüce,Turkish botanist
Gülnur Ekşi,Turkish botanist
Fatma Şahin,Turkish chemical engineer and politician
Henriette Dorothea Schotsman,French botanist (1921-2004)
Vera Rubin,American astronomer and physicist
Konstanze Schubert,German mycologist
Marta Fraenkel,deutsche Ärztin
Ana Esperanza Franco-Molano,Spanish botanist and mycologist
Frances Hooker,"artist, wife of Joseph Dalton Hooker (1825-1874)"
Alice Săvulescu,Romanian botanist (1905-1970)
Olga Herrera-MacBryde,Ecuadorian-American botanist and international conservationist (1937-2007)
Purnima Sinha,Indian physicist
Katherine Alice Burke,British chemist
Conrad L. Schoch,researcher
Sannie Overly,American politician
Brigitte Krach,botanist
Elham Abu al-Jadayel,Saudi Arabian biologist
Eva Reich,American physician
Brigitte Autran,French medical researcher
Elizabeth Marlene Harris,U.S. botanist
Karin Petrý,phycologist
Myriam Joire,Canadian writer
Gerty Cori,Austro-Hungarian-American biochemist
Franziska Seidl,Austrian physicist
Nina Floy Bracelin,American botanist (1890—1973)
Lucia Wichmann,phycologist
Caroline Deys,British family planning doctor
Juli Berwald,Ocean scientist and science writer
Dina  Prialnik,Romanian-born Israeli planetary scientist and researcher at Tel Aviv University (*1950)
Margaret McKellar,Scottish-born Canadian medical missionary
Lucia d'Avila Freire de Carvalho,botanist
Margot Valle Ferreira,botanist
Sonny Jiménez de Tejada,first woman to earn an engineering degree in Colombia
Terry Wahls,American physician
Danielle Feinberg,American computer scientist
Stephanie Digby,mycologist
Alaa Murabit,Canadian physician; women's rights and youth activist
Emily V. Fischer,US atmospheric chemist and academic
N. Karsakoff,phycologist
Olexandra Michajlivna Matvienko,phycologist
Anna Maria Luppi Mosca,botanist
Elisabeth Gantt,American cellular and molecular plant scientist
Chantal Billard,botanist
Dale Christine Pike,botanist
Deborah Q. Lewis,botanist
Delia Añon Suarez de Cullen,botanist
Elizabeth Mary Gordon-Mills,botanist
Janet Joanne Cubey,botanist
Joyce E. Roberts,botanist
Karen K. Nakasone,botanist
Kay Yatskievych,botanist
Léanne Laurette Dreyer,botanist
Lilian Auler Mentz,botanist
Liliana Bernardo,botanist
Margaret Louise Hawke,botanist
Margaret N. Clayton,botanist
Margarida Masclans de Bolòs,botanist
María Cristina Martínez,botanist
Max Quezada,botanist
Micheline Y. Guerlesquin,botanist
Montserrat Arista,botanist
N.G. Pozdeeva,botanist
N.S. Pavlova,botanist
Nina Mary Julia Davies,botanist
Olga A. Mochalova,botanist
Paloma Cantó,botanist
Renata Borosova,botanist
Silvana Diana,botanist
Susan Paust,botanist
T.G. Leonova,botanist
T.P. Antsupova,botanist
Thérèse Mathou,botanist
Zofia Umiastowska-Sawicka,Polish physician
June Chan,American lesbian activist and biologist
Charlotte Laurie,British botanist (1857-1933)
Tereza Khachatryan,hygienist
Laura Victoria Campos Salazar,Spanish botanist
Margarete Magalhães Souza,Brazilian botanist
Rosana Conrado Lopes,Brazilian botanist
Cecilia Helena Payne Gaposchkin,British-born American astronomer
Eudóxia Maria Froehlich,Brazilian zoologist
Nawal El Saadawi,"Egyptian feminist writer, activist, physician and psychiatrist"
Shannon Lucid,American biochemist and retired NASA astronaut
Verena Themsen,German writer
Gertrud Meissner,German physician
Shashi Wadhwa,Indian scientist
Gabriele Kotsis,Austrian university teacher
Vlasta Trpíková,Czech politician and doctor
Latanya Arvette Sweeney,computer scientist
Judith Esser-Mittag,German gynaecologist
Charlotte Grace O'Brien,Irish writer (1845-1909)
Dorothy N. Gibson,American botanist
Nancy S Goroff,Chemist
Sigrid Berger,phycologist
Christine Ladd-Franklin,Psychologist and logician
I. Anita Andersson,Swedish botanist
Emma Lehmer,American mathematician (1906-2007)
Ellen Gleditsch,Norwegian radiochemist
Helen Caldicott,"Australian physician, author and anti-nuclear advocate"
Karen Barad,American feminist theorist and physicist
Julie Vinter Hansen,Danish astronomer (1890-1960)
Khouloud Daibes,Palestinian architect and politician
Teresa Garnatje,Spanish botanist
Folashade Sherifat Jaji,Nigerian chemist
Linda Reichl,Statistical physicist
Mwele Ntuli Malecela,Tanzanian health administrator
Ruth Janetta Temple,Healthcare advocate
Joan Cribb,Australian botanist
Janette A. Norman,Australian biologist and bioscientist
Florence Hedges,American botanist (1878-1956)
Nancy Makri,Greek physicist
Valerie Gibson,British particle physicist
Greta Leibowitz,مترجمة إسرائيلية
María Luisa López Fernández,Spanish botanist and writer
María Blasco Marhuenda,Spanish scientist
Helen Spurway,Indian biologist
Małgorzata Wróblewska,Polish biologist
Solange Sotuyo,Mexican botanist
Yelena Gasparyan,Armenian physician
Rima Varzhapetyan-Feller,President of the Jewish Community of Armenia
Mary Gordon,Engilsh physician and prison inspector
Caroline Barbey-Boissier,Swiss botanist (1847-1918)
Dagmar Triebel,botanist and lichenologist
Armelle Lengronne,French biologist
Gisela Kretzschmar,German botanist
Aud Blegen Svindland,Norwegian politician and physician
Yekaterina Nikitichna Blinova,Russian physicist
Angela Ivask,researcher
Consuelo Medina García,Mexican botanist
Hilda Flores Olvera,Mexican botanist
María Luisa Zafra Valverde,botanist
Nan Dieter-Conklin,American radio astronomer
Elena Ibáñez,spanische Chemikerin
Margaret Lawder,Irish and South African botanist known for her conservation work (1900-1983)
Anu Maarit Stoor,botanist
Beyshekan Abdykasymova Sultanova,botanist
Cynthia Sothers,botanist
Erica M.F. Swale,botanist
Jeannie Raharimampionona,botanist
Lisa Anne Standley,botanist
M.T. Tulyaganova,botanist
Maria Adele Signorini,botanist
Maria Antonia Rivas Ponce,botanist
Jean Krisch,American theoretical cosmologist and astrophysicist
Aslı Erdoğan,"Turkish writer, human rights activist and former columnist"
Kaqusha Jashari,Prime Minister of Kosovo
Tu Youyou,Chinese medical scientist
Yvonne Choquet-Bruhat,"French mathematician, physicist"
Irene Greif,American computer scientist
JoAnne Yates,American business theorist
Jana Rodríguez Hertz,Mathematician from Uruguay
Lilian Suzette Gibbs,"British botanist, botanical collector and scientific illustrator (1870-1925)"
Eugenie Lisitzin,Finnish physicist
Dariya Dobroczajeva,botanist (1916-1995)
Dorothy Erna Beetle,botanist (1918-2005)
Edith Marie Raadts,German botanist (1914–2004)
Elisa G. Nicora,Argentinian botanist (1912-2001)
Weili Dai,Chinese-American entrepreneur and computer scientist
Cicely Saunders,"English writer, doctor, founder of the hospice care movement, palliative care activist"
Heidi Reinholz,German physicist
Hildegard Rothe-Ille,German mathematician
Barbara Marciniec,Polish chemist
Linda Shapiro,American computer scientist
Vanaja Iyengar,"Indian mathematician, educationist"
Emma Baghramyan,physician
Mary Katharine Brandegee,American botanist (1844-1920)
Charity Wayua,Kenyan chemist and researcher
Birgitte Ahring,Danish biologist
Priscilla Braislin,first mathematics professor at Vassar College
Sylvia Fedoruk,Canadian curler and politician (1927-2012)
Martha Hughes Cannon,medic and politician (1857-1932)
Maria Ciemerych-Litwinienko,Polish biologist
Christine Adjobi,Ivorian physician
Miliana Kroumova Kaisheva,Bulgarian physical chemist
Anna Catharine Gilbert,American mathematician
Angela Stella Camacho,Colombian physicist
Reinilda Duré,Paraguayan botanist
Ida P. Mandenova,Soviet botanist (1909-1995)
Lutgarda González Géigel,Cuban botanist (1948-2006)
Teruko Saeki,Japanese doctor. founder
Margaret Ensign Lewis,botanist (1919-2017)
Sylvia Edlund,Canadian botanist (1945-2014)
Angela von Nowakonski,Brazilian researcher and professor
Elena Mitrofanovna Morozova,Russian engineer
Winona Hazel Welch,"U.S. botanist, bryologist, professor (1896-1990)"
Zoraida Luces de Febres,"Venezuelan botanist, naturalist and writer (1922-2015)"
Eileen A. McLaughlin,researcher
Jane Cummins,born 1899
Ilka Agricola,German mathematician
Iris Runge,German mathematician and physicist
Tove Fjeld,Norwegian botanist and professor
Nicole Ludwig,botanist
Bibha Chowdhuri,Indian cosmic ray physicist
Karen Gleason,American chemist
Margaret E. M. Tolbert,American chemist
Patricia D. Lopez,American computer scientist
Josephine Elizabeth Burns Glasgow,American mathematician
Lida Barrett,American mathematician
Dominique Stoppa-Lyonnet,طبيبة فرنسية
Kathleen Ollerenshaw,English mathematician (1912-2014)
Shoshanah Arad,Israeli biologist
Erna Frins,Physicist from Uruguay
Lucrecia Covelo,Entomologist from Uruguay
Vera Katharine Charles,American mycologist (1877-1954)
Jennifer Rohn,American biologist and writer
Sarah Trimpin,Swiss chemist
Magdalena Matte,"Politician, civil engineer, businesswoman"
Elif Genceli,Turkish Chemical Engineering
Rebeca Acevedo,Chilean botanist (1902-1987)
Saffet Rıza Alpar,Turkish chemist and academic
Vyjayanthi Chari,Indian mathematician
Jennifer E. Hoffman,physicist
Marian P. Roque,Filipina mathematician
Sarmīte Ķikuste,Latvian physician and politician
Gabriella Fredriksson,biologist
Karen Ellen Smith,American mathematician
Amanda Fisher,British biologist
Meliha Gemici,botanist
Paulette Libermann,French mathematician
Sarah Zerbes,German algebraic number theorist
Melissa S. Cline,American biologist
Katherine J Franz,American chemist
Zofia Radwańska-Paryska,Polish botanist (1901-2001)
Antonina Borissova,Russian botanist (1903-1970)
Jane Wells Webb Loudon,English science fiction writer and botanist (1807-1858)
Hanna Vehkamäki,"Finnish aerosol physicist, professor of computational aerosol physics (University of Helsinki)"
Licia Verde,Italian cosmologist and theoretical physicist
Nicole Grobert,British-German materials chemist
Naama Barkai,Israeli biophysicist
Janet Mary Campbell,British physician and medical officer
Sally A. Meyer,U.S. mycologist (1931–2008)
Martha Sheldon,"American medical missionary in India, Nepal, and Tibet"
Marie-Francine Moens,"researcher, text mining, KU Leuven"
Fatoş Tanzer,Turkish physician and academic
Edith Irby Jones,American physician
Anna Fischer-Dückelmann,Austrian physician and writer
Anna Honzáková,"Czech feminist, surgeon and gynecologist"
Susan Elizabeth Verhoek-Williams,American botanist (born 1942)
Mary Endress,naturalist
Hannah M. Thompson,American physician
Miranda Cheng,Taiwanese-born and Dutch-educated mathematician and theoretical physicist
Sonja Ashauer,Brazilian physicist
Jadwiga Śliwka,researcher
Zoya Lazaryan,Armenian physician
Raūza Qonaeva,Kazakhstani biologist
Mary Brück,Irish astronomer
Leslie M. Smith,"American applied mathematician, mechanical engineer"
Anna Volkova,russian chemist
Lois Aileen Bey,American engineer
Stacie Powell,British diver
Kristin Falck,German author
Anita Sundman,Swedish astronomer
Dorothy Hahn,American organic chemist
Anna Cartan,French mathematician
Claire Kelly Schultz,American documentalist
Alicia Calderón Tazón,Spanish scientist
Simone Techert,researcher ORCID ID = 0000-0002-7549-7651
Antonina Vasilievna Vasinger,botanist (1892-1940)
Beryl Stranack Fisher,botanist (1907-1951)
Elisabeth Tschermak-Woess,Austrian botanist and lichenologist (1917-2001)
Jean Laby,Australian atmospheric physicist
Laura Guzmán-Dávalos,"botanist, mycologist and lichenologist"
Laura L. Forrest,botanist (fl. 2003)
Lulu Odell Gaiser,botanist (1896-1965)
Linda M. Kohn,North American mycologist (born 1950)
Maria S. Vorontsova,botanist at RBG Kew
Marvalee Wake,American zoologist and professor
Marie-Louise Paris,French engineer (1889-1969)
Anne Hoggett,Australian biologist and zoologist
Eva Fernández,Spanish biologist
Lyudmila Keldysh,Soviet mathematician
Gabriela Chaborski,Romanian-Polish chemist
Joyce Gilchrist,American forensic chemist
Julia Goodfellow,"Academic, professor"
Svjetlana Fajfer,Slovene physicist
Eileen Poiani,American mathematician
A. J. Bernheim Brush,American computer scientist
Iris Cummins,"Irish civil engineer, b. June 1894"
Shikoh Gitau,Kenyan computer scientist and technology innovator
Miriam Weinberger,Israeli physician
Janet L. Mitchell,African American physician
Olga Antonovna Eliashevich,botanist (1891-1947)
Nancy Caroline,American-Israeli internist and emergency medicine physician
Claire Geraets,Belgian politician
Katalin Cseh,"Hungarian politician, physician"
Maitree Bhattacharyya,Indian physicist
Kathleen Lynn,"Irish politician, activist and medical doctor"
Alice Maria Ottley,American botanist (1882-1971)
Andrea Gargas,U.S. biologist
Edith May Farr,American botanist (1864–1956)
Jeannette E. Brown,"American organic medicinal chemist, historian, and author"
Kathleen D. Phelps,American botanist (1908-2001)
Olga Ivanovna Roshkova,botanist (1909-1989)
Renée D'hose,botanist (1925-2000)
Elisabeth Farbu,Norwegian physician and professor
Sophie D. Fosså,Norwegian physician and professor
Cassie Kozyrkov,South African data scientist
Lena B. Smithers Hughes,American botanist (1905-1987)
Carmen García Ruiz,Chemistry Professor
Dorothy van Dyke Leake,"American botanist, author, artist and educator (1893-1990)"
May Cohen,kanadische Ärztin
Judith Tobin,American medical examiner
Heidi Lyng,Norwegian physicist
Sunniva Rose,Norwegian physicist
Mitchell Baker,Chairwoman; former CEO
Tatyana Afanasyeva,Russian/Dutch mathematician and physicist
Maria Kotlicka,Polish politician
Marjorie J. Vold,American chemist
Elaine Bullard,British botanist (1915-2011)
Jue Chen,Chinese-born American biochemist
Gudrun Høiseth,Norwegian physician
Shirley Becke,British police officer
Maria Gjerpe,Norwegian physician
Mary Elliott Hill,chemist
Bérengère Lebental,researcher
Katerina Vitale,first female pharmacist and chemist in Malta
Leokadia Kłyszejko-Stefanowicz,Polish biologist
P.K. Thressia,Engineer
Beate Naroska,German physicist
Ascensión del Olmo Orozco,astrophysicist
Alexandra Arkhipovna Kalugina,botanist (1929-1994)
Doreen E. Wells,Canadian lichenologist and mycologist
Dorothy Cooper,New Zealand botanist (1941 - )
Grace Clara Stone,(1860-1957) medical practitioner
Kerry Alison Ford,"New Zealand botanist (born 1964),"
Margaret Sibella Brown,Canadian botanist (1866-1961)
Marie Louise Marguerite Belèze,French botanist (1851-1913)
Pauline Bond,botanist (1917-2010)
Sarah Frances Price,"American botanist, scientific illustrator and author (1849-1903)"
Yui Liang Chang,botanist (1923-1977)
Elmer Lucille Allen,Ceramic artist and chemist
Tze Leong Yao,botanist
Armine Zaraelyan,physician
Lia Kamalyan,physician
Natalya Khudabashyan,physician
Isobyl Florence la Croix,British botanist
Ethelyn Maria Tucker,"America botanist, librarian and author (1871-1959)"
Pirjo Mäkelä,Finnish physician
Tomita Fusa,Japanese physician and politician
Dorothy Virginia Nightingale,American chemist
Caroline Bingham,American botanist (1831-1932)
Sunisa Sangvirotjanapat,Thai biologist
Lin Ching-yi,Taiwanese politician
Lora Hirschberg,Sound engineer
Evelyn May Cridlan,British nurse and WWI ambulance driver
Tatyana Hovsepyan,ophthalmologist
Shandelle Henson,American mathematician
Leana Wen,"physician, public health advocate, author, and president of the Planned Parenthood Federation of America"
Ana María Rizzuto,Argentinan psychiatrist and psychologist
Anneli Pauli,Finnish biologist
Thaís Elias Almeida,Brazilian botanist
Mei Lyn Serena Lee,botanist
Katarina Cicak,Physicist
Suchitra Sebastian,condensed matter physicist
Julie Macpherson,Professor of Chemistry
Carmen Rodríguez Armenta,ingeniera informática mexicana
Colette Brull-Ulmann,pédiatre et résistante française
Juana Pereyra,Uruguayan civil engineer
Monika Lipińska,Polish botanist
Deanna Needell,American mathematician
Linda P.B. Katehi,Greek-American engineer and university administrator
Aslı Doğru-Koca,Turkish botanist
Zafer Türkmen,Turkish botanist
Mervi Laaksonen,Finnish biologist
Ruth Chabay,American physics educator
Rosa Perrée,French physician
Caroline Friderike Rosenberg,botanist (1810-1902)
Helen Vandervort Smith,botanist (1909-1995)
Jadwiga Siemińska,Polish botanist (1922-2018)
Kamilla Gevorkovna Tamanian,botanist (1946-2013)
Marian Muriel Whiting,British botanist and plant collector (1881-1978)
Shirley Dawn Van Valkenburg,botanist (1925-2012)
Marie Mercury Roth,American chemist
Nina Ivochkina,Russian mathematician
Maria Chudnovsky,Mathematician and engineer
Marina Bosi,Italian audio engineer
Jocelyne Roy-Vienneau,Canadian lieutenant governor
Ruthild Winkler,Austrian biochemist
Josephine Nambooze,"Ugandan physician, public health specialist, academic"
Anne-Wil Lucas,Dutch politician
Soniya Nityanand,Indian medical researcher
Mukta Farooq,electrical engineer
Eun Sug Park,Korean-American statistician
Vanessa Valdiglesias García,Spanish biologist
Alison Valerie Kellow,botanist
Metka Klevišar,طبيبة سلوفينية
Mojca Senčar,Slovene physician
Jeni Mundy,British electrical engineer
Eliza Taylor Ransom,Canadian-born American physician
Naomi McClure-Griffiths,American astrophysicist and radio astronomer
Lucy Cranwell,New Zealand botanist (1907 - 2000)
Margaret Menzies Campbell,Scottish surgeon
Alina Bakhar,Belarusian engineer and politician
Hally Jolivette Sax,American botanist (1884-1979)
Tanja Schuster,Australian botanist
Deanna Haunsperger,American mathematician
Janice Douglas,American physician
Louiz Fov-Hovhannisyan,psychiatrist
Monica Cox,engineer
Louise Vet,researcher
Maria Börjesson,Swedish professor in national economics
Anna Maurizio,Swiss botanist (1900-1993)
Annie Leuch-Reineck,Swiss mathematician (1880-1978)
Vida Marija Čigriejienė,Lithuanian physician and politician
Lydia Makhubu,Swazi chemist
Margo Hamm,NASCAR race car owner
Lena Bergström,phycologist
Deborah Martin-Downs,Canadian aquatic biologist
Genevieve M. Knight,African-American Mathematician & academic
Amy Austin,Argentinan ecologist
Nejla Moalla Harrouch,Tunisian engineer and politician
Kiki Sarantakou,Greek writer and chemist
Isobel Wylie Hutchison,Scottish Arctic traveller and botanist (1889-1982)
Neiva Guedes,Brazilian biologist and scientist
Alice H. Farnsworth,astronomer
Leila Andrews,physician
Mary De Garis,advocate of antenatal and postnatal care who worked at the Ostrovo Unit in Serbia during World War I
Mary Treat,American biologist (1830-1923)
May Brodbeck,American philosopher and university professor
Emily Orwaru,Kenyan aeronautical engineer
Arina Harutyunyan,epidemiologist
Rafaela Hillerbrand,German physicist
Kathryn Stecke,American industrial engineer
Petra Hoffmann,botanist
Avishag Zahavi,Israeli biologist
Suad Amiry,Palestinian author and architect
Amelia Haviland,American statistician
Jackie Akhavan,British chemist; expert in the chemistry of explosives
Minna Palmroth,professor in computational space physics
Kaarina Kari,طبيبة فنلندية
Mary-Elizabeth Hamstrom,American mathematician
Judith Gay West,Australian botanist
Ellen Schulz Quillin,"American botanist, author, educator and museum director (1892-1970)"
Sonia Belkind,First female doctor in Palestine
Sabine Laschat,German Chemist
María Beatriz Paret,طبيبة إكوادورية
Kathleen Madden,American mathematician
Jeannette South-Paul,American physician
Helene Shapiro,mathématicienne américaine
Ewa Hensz-Chądzyńska,Polish mathematician
Anna Suk-Fong Lok,Gastroenterologist
Emily Lovira Gregory,American botanist (1840—1897)
Helen Kirkland Dalrymple,"New Zealand botanist, author and teacher (1883-1943)"
Ruth M. Williams,physicist
Nance Dicciani,US chemical engineer
Silvia Talts,Estonian botanist
Maruja Clavier,Venezuelan oncologist
Jane Dalton,British botanist and translator (1742-1817)
Rhea Boyd,American pediatrician and child and community health advocate
Janet Barnett,Américan mathematician
Helena Fulková,researcher ORCID ID = 0000-0001-7414-5024
Cheng-Shu Wang Chang,Chinese nuclear physicist
Tatyana Ivanovna Serebryakova,Soviet botanist (1922-1986)
Shatha Ali al-Tai,An Iraqi researcher and academic who has a patent in innate toxins
Karina Oliani,Brazilian physician
Brigitte Bazin,médecin français
Mary Deconge,American mathematician
Henrietta Liston,British botanist (1751-1828)
Ping Zhang,graph theorist
Katia Ferreira Rodrigues,botanist and mycologist
Elena Borisovna Yanovskaya,russische Mathematikerin
Nina Nikolaevna Subbotina,russische Mathematikerin
Margaret Kidwell,American biologist
Margaret Greig,British mathematician
Shelley Sekula-Gibbs,American politician
Idit Zehavi,Israeli astrophysicist
Almah Jane Frisby,American physician
Anna Pajor,Polish economist and mathematician
Vera Csapody,Hungarian botanist (1890-1985)
Elsie Louisa Winterton,"first woman member of Institute of Railway Signal Engineers, GWR draughtswoman"
Sharon Menard,(1934- )
Judy Green,American logician and historian of mathematics
Anita Mehta,Indian physicist
Fava of Manosque,"Jewish physician and surgeon known to practice medicine in the early 14th century in Provence, France"
Marjorie Hahn,American tennis player
Eeva Tapio,Finnish botanist and professor (1927-2019)
Sarah Matthews,British physicist
Geetam Tiwari,Indian engineer
Cait MacPhee,Professor of Biological Physics
Cynthia C. Morton,American geneticist
Maryan Ainsworth,"American art historian, author and curator specializing in 14th, 15th and 16th century Northern European painting, particularly in Early Netherlandish painting"
Sinéad Griffin,Irish physicist
Ann C. Noble,Sensory chemist
Elena Kalantaryan,Armenian physician
Alla Harutyunyan,Armenian physician
Nicoletta Cellinese,botanist
Rosemarie Karger,German engineer and university teacher
Ulana Suprun,"Ukrainian-American physician, activist"
Loretta Gregorini,Italian astronomer
Eva Kmoníčková,researcher
Else Rosenthal,deutsche Ärztin
Eimear Nic Lughadha,botanist
Jane Glazebrook,American botanist
Tracy L. Kahn,American botanist
Ilga Winicov,biochemist
Maria Mitchell,American astronomer
Laura Albert,Professor of Industrial and Systems Engineering
Annie Bureau,médecin française
Paule Gauthier-Villars,médecin française
Pauline Lautaud,médecin française
