personLabel,occupationLabel,institutionLabel
Kathleen R. McKeown,computer scientist,Brown University
Fathia Ayodele Karim,physician,Kwame Nkrumah University of Science and Technology
Minerva Cordero,mathematician,University of Puerto Rico
Jennifer A. Golbeck,computer scientist,University of Maryland
Linda B. Hayden,mathematician,Old Dominion University
Nila Moeloek,physician,University of Indonesia
Emilia Currás,chemist,Humboldt University of Berlin
Françoise Balibar,physicist,École normale supérieure de jeunes filles
Hazel Bishop,chemist,Fu Foundation School of Engineering and Applied Science
Helena Jaczek,physician,York University
Margaret Eliza Maltby,chemist,Oberlin College
Velia Fowler,chemist,Harvard University
Heidi Wunderli-Allenspach,biologist,ETH Zurich
Catherine Coleman,chemist,Massachusetts Institute of Technology
Alison Power,biologist,University of Washington
Isabel Hardwich,engineer,Newnham College
Sophie Harker,engineer,University of Nottingham
Paulien Hogeweg,biologist,University of Amsterdam
Rebecca Elson,astronomer,University of British Columbia
Lenore Blum,computer scientist,Massachusetts Institute of Technology
Bozenna Pasik-Duncan,mathematician,SGH Warsaw School of Economics
Laura M Herz,physicist,University of Bonn
Katherine Bitting,botanist,Purdue University
Ruth Moufang,mathematician,Goethe University Frankfurt
Giovanna Dal Vesco,botanist,University of Pavia
María Eliana Ramírez,botanist,University of Chile
Helen Hou-Sandí,programmer,Eastman School of Music
Chantal David,mathematician,McGill University
Carolyn Bertozzi,chemist,"University of California, Berkeley"
Isabella Moro,botanist,University of Pavia
Colla Jean McDonald,biologist,University of Alberta
Ellen Minna Heine,botanist,Victoria University of Wellington
Leticia González,chemist,Autonomous University of Madrid
Harriet Rice,physician,New York Medical College
Khawla Al Khuraya,physician,King Saud University
Jana Rodríguez Hertz,mathematician,National University of Rosario
Karen Yeats,physicist,Boston University
Sister Mary Domitilla Thuener,mathematician,The Catholic University of America
Karen Aardal,computer scientist,Université catholique de Louvain
Carolyn Talcott,computer scientist,Stanford University
Fiorella Terenzi,astronomer,"University of California, San Diego"
Leona Woods,chemist,Lyons Township High School
Sabine Gabrysch,physician,University of Tübingen
Janet Lane-Claypon,physician,London School of Medicine for Women
Matilda Chaplin Ayrton,physician,London School of Medicine for Women
Paula Pryke,botanist,Culford School
Sally Davies,physician,University of Manchester
Helen Hou-Sandí,programmer,Virginia Commonwealth University
Hertha Ayrton,mathematician,Girton College
Virginia Zakian,biologist,Cornell University
Charlotte Auerbach,biologist,University of Edinburgh
Margaret H. Wright,computer scientist,Stanford University
Katya Scheinberg,mathematician,Columbia University
Helen Abbott Michael,chemist,Tufts University School of Medicine
Marie Mercury Roth,chemist,University of Wisconsin–Madison
Melanie Mitchell,computer scientist,Brown University
Mariana Meerhoff,biologist,Aarhus University
Ellen Ketterson,biologist,Washington State University
Lorena Fernández Álvarez,engineer,University of Deusto
Lucy Oldfield,chemist,Bedford College
Karla Rubilar,physician,University of Chile
Esther Arkin,computer scientist,Stanford University
Evelyn Groesbeeck Mitchell,physician,Cornell University
Mina Rees,mathematician,Hunter College
Barbara Migdalska,physician,Medical University of Warsaw
Mary Brazier,physician,Bedford College
Humayra Abedin,physician,Dhaka Medical College and Hospital
Joan Dingley,biologist,Diocesan School for Girls
Gilberte Chambaud,chemist,Pierre and Marie Curie University
Ėmilii︠a︡ Ivanovna Vorobʹeva,biologist,Faculté de biologie et des sciences du sol de l'université d'État de Moscou
Cathleen Synge Morawetz,mathematician,Massachusetts Institute of Technology
Céline Bœhm,physicist,École polytechnique
Susan Coppersmith,physicist,University of Cambridge
