personLabel,occupationLabel,institutionLabel
Susan La Flesche Picotte,physician,Drexel University
Silvia Torres-Peimbert,physicist,National Autonomous University of Mexico
Katharine Krom Merritt,physician,Vassar College
Elly Tanaka,biologist,"University of California, San Francisco"
Joanna Bzówka,engineer,Silesian University of Technology
Mona Spiegel-Adolf,chemist,University of Vienna
Necia H. Apfel,astronomer,Radcliffe College
Vandana Shiva,physicist,University of Western Ontario
Leah Boehm,chemist,Hebrew University of Jerusalem
Wendy Yang,botanist,"University of California, Berkeley"
Pelageya Polubarinova-Kochina,physicist,Bestuzhev Courses
Yolanda Ortiz,chemist,Facultad de Ciencias Exactas y Naturales
Zaida Luthey-Schulten,chemist,University of Southern California
Susanne Biundo-Stephan,computer scientist,University of Kaiserslautern
Efstratia Kalfagianni,mathematician,Fordham University
Anna K. Panorska,mathematician,"University of California, Santa Barbara"
Anne-Marie Imafidon,mathematician,Johns Hopkins University
Cicely Saunders,physician,St Anne's College
Jean E. Rubin,mathematician,Queens College
Elika Takimoto,physicist,Universidade do Estado do Rio de Janeiro
Janet Sprent,botanist,University of Tasmania
Naomi Ginsberg,chemist,University of Toronto
June Chan,biologist,City College of New York
Adrienne Clarke,botanist,Ruyton Girls' School
Cornelia Denz,physicist,Technische Universität Darmstadt
Marleen Temmerman,physician,Institute of Tropical Medicine Antwerp
Margaret Leslie Canby,botanist,Cornell University
Caroline Herzenberg,physicist,Massachusetts Institute of Technology
Maria Zemankova,computer scientist,Florida State University
Angeline Stickney,mathematician,"New-York Central College, McGrawville"
Yvonne Stokes,mathematician,Murdoch University
Anastassia Michaeli,engineer,Saint Petersburg State University of Telecommunications
Asima Chatterjee,chemist,Scottish Church College
Elizabeth Ann Nalley,chemist,Oklahoma State University–Stillwater
Betül Tanbay,mathematician,"University of California, Berkeley"
Flordeliz (Gigi) Osler,physician,University of Manitoba
Ida Rolf,physician,Barnard College
Marianna Saar,botanist,Estonian University of Life Sciences
Liliana Grinfeld,physician,National University of La Plata
Julia Brainerd Hall,chemist,Oberlin College
Amanda Chessell,computer scientist,University of Plymouth
Süe-Yung Zee-Kiang,mathematician,Ludwig Maximilian University of Munich
Nina Bari,mathematician,Moscow State University
Mary Peters Fieser,chemist,Bryn Mawr College
Stella Cunliffe,mathematician,Parsons Mead School
Edith Stern,computer scientist,Michigan State University
Ana Cláudia Araújo,botanist,University of São Paulo
Susana Fiorentino,biologist,Pontifical Xavierian University
Zoé Chatzidakis,mathematician,Yale University
Antonia Novello,physician,University of Michigan
Vanessa Kerry,physician,Yale University
Esther Arkin,mathematician,Tel Aviv University
Aleksandra Buvanova,physician,Kazakh National Medical University
Clare Grey,chemist,University of Oxford
Bettina V. Lotsch,chemist,University of Toronto
Elizabeth Frances Cope,mathematician,Radcliffe College
Juliana de Paula-Souza,botanist,University of São Paulo
Karin Stephen,physician,Newnham College
Marta Kosek,mathematician,Jagiellonian University
Carolyn Bertozzi,chemist,Harvard University
Alice Christine Stickland,engineer,King's College London
Amanda Chessell,computer scientist,University of Brighton
Anna K. Panorska,mathematician,University of Texas at El Paso
Dorothea Fiedler,biologist,University of Würzburg
Cristina Garmendia,biologist,Autonomous University of Madrid
Saly Ruth Ramler,mathematician,Charles University
Rachel Fuller Brown,chemist,Harvard University
Nettie Stevens,biologist,Westfield State University
Ulrike Diebold,physicist,TU Wien
Anne Dørum,physician,Oslo University Hospital
Linda B. Hayden,mathematician,University of Cincinnati
Alice Middleton Boring,biologist,University of Würzburg
Esther Fussell Byrnes,biologist,Bryn Mawr College
Caroline Aigle,engineer,Prytanée National Militaire
Yewande Olubummo,mathematician,University of Ibadan
Maria Preobrazhenskaya,chemist,MSU Faculty of Chemistry
Ida Rolf,chemist,Barnard College
Karine Gil,biologist,Simón Bolívar University
Lucille Farrier Stickel,chemist,Eastern Michigan University
Bertha Bouroncle,physician,National University of San Marcos
Jadwiga Tritt-Goc,physicist,Adam Mickiewicz University in Poznań
Thelma Alper,physician,Wellesley College
Mindora Orjonikidze,physician,University of Geneva
Yolanda López Vidal,chemist,Benemérita Universidad Autónoma de Puebla
Elizabeth Ann Nalley,chemist,Northeastern State University
Hasmik Hasratyan,physician,Yerevan State Medical University
فادية عبد الجواد,physician,Ain Shams University
Grace Marie Taylor,botanist,New Plymouth Girls' High School
Bridget Shield,engineer,University of Birmingham
Halina Łapińska,engineer,Q11838079
Rebecca Elson,astronomer,Harvard University
Araxie Babayan,chemist,Yerevan State University
Katharine Way,physicist,Columbia University
Theodora Lisle Prankerd,botanist,"Royal Holloway, University of London"
Natalija Anatolevna Zinoveva,biologist,Moscow State Academy of Veterinary Medicine and Biotechnology
Juliet Wege,botanist,University of Western Australia
Matilda Chaplin Ayrton,physician,University of Paris
Elżbieta Turnau,biologist,Jagiellonian University
María Antònia Canals,mathematician,University of Barcelona
Michèle Sebag,computer scientist,Paris Dauphine University
Shikha Varma,physicist,University of Wisconsin–Milwaukee
Katharina Kohse-Höinghaus,chemist,Ruhr University Bochum
Sudha Murthy,computer scientist,Indian Institute of Science
Artemis Simopoulos,physician,Boston University School of Medicine
Armenouhi Kyureghyan,mathematician,Yerevan State University
Leyla Adamyan,physician,I.M. Sechenov First Moscow State Medical University
Rosalyn Sussman Yalow,physician,New York University
Rosalyn Sussman Yalow,physicist,New York University
Patricia Lewis,physicist,University of Manchester
Sarah Elgin,biologist,University of Leeds
Lisa P. Jackson,engineer,Princeton University
Ulrika Manns,botanist,Stockholm University
Bibha Chowdhuri,physicist,University of Calcutta
Jennie McCowen,physician,University of Iowa
Irene Condachi,physician,University of Pavia
Maria T. Zuber,astronomer,University of Pennsylvania
Joy Crisp,astronomer,Princeton University
Nancy Glenn Griesinger,mathematician,Texas Southern University
Gerlind Plonka,mathematician,University of Rostock
Sarah Jarvis,physician,University of Oxford
Susan Shurin,physician,Johns Hopkins School of Medicine
Mary Agard Pocock,botanist,University of London
Chien-Shiung Wu,physicist,Zhejiang University
Rosemary Sarah Carpenter,biologist,University of Leeds
Mary Bowerman,botanist,"University of California, Berkeley"
Darlene Yee-Melichar,physician,Teachers College
Melody Chan,mathematician,Juilliard School
Jane Metcalfe,engineer,University of Colorado Boulder
Tamara G. Kolda,computer scientist,"University of Maryland, Baltimore County"
Cheng-Shu Wang Chang,physicist,Yenching University
Haesun Park,computer scientist,Cornell University
Melania Alvarez,mathematician,Simon Fraser University
Jane Haskett Bock,botanist,Duke University
Jewel Plummer Cobb,biologist,University of Michigan
Miliana Kroumova Kaisheva,chemist,Moscow State University
Gjuvara Dzjachangir kizi Noerieva,engineer,Saint Petersburg State Polytechnical University
Janaki Ammal,botanist,University of Michigan
Hoylande Young,chemist,University of Chicago
Jessica Hammer,computer scientist,Teachers College
Emilie Virginia Haynsworth,mathematician,University of North Carolina at Chapel Hill
Victoria Walusansa,physician,Makerere University
Isabel Clifton Cookson,botanist,Methodist Ladies' College
Dora Dougherty Strother,engineer,New York University
Sethanne Howard,astronomer,"University of California, Davis"
Jane Elizabeth Waterston,physician,London School of Medicine for Women
Elizabeth Hardy,chemist,Bryn Mawr College
Ray Strachey,engineer,Newnham College
Muge Cevik,physician,University of St Andrews
Melania Alvarez,mathematician,University of Wisconsin–Madison
Necia H. Apfel,astronomer,Northwestern University
Katalin Kamarás,physicist,Eötvös Loránd University
Adriana Nica,physician,Carol Davila University of Medicine and Pharmacy
Violeta Dimitrova,physician,Sofia Medical University
Kira Radinsky,computer scientist,Technion – Israel Institute of Technology
Thereza Imanishi-Kari,biologist,University of São Paulo
Bobbie Vaile,astronomer,University of New South Wales
Nancy A. Moran,biologist,University of Texas at Austin
Anna Kartsova,chemist,Saint Petersburg State University
Shelly Harvey,mathematician,California Polytechnic State University
Dalva Graciano Ribeiro,botanist,University of Brasília
Svetlana Broz,physician,University of Belgrade School of Medicine
Ella Macknight,physician,Toorak College
Dawn R. Bazely,biologist,University of Toronto
Hope Jahren,biologist,University of Copenhagen
Eleanor G. Rieffel,mathematician,"University of California, Los Angeles"
Eva-Maria Neher,chemist,University of Göttingen
Iwona Łakomska,chemist,Nicolaus Copernicus University in Toruń
Adriana Marais,biologist,University of Cape Town
Dorothy Stein,computer scientist,Cornell University
Limor Fried,computer scientist,Massachusetts Institute of Technology
Muge Cevik,physician,London School of Hygiene & Tropical Medicine
Sheila Callender,physician,University of St Andrews
Me-Iung Ting,physician,University of Michigan
Florence Lewis,astronomer,University of Texas at Austin
Florence Lewis,mathematician,University of Texas at Austin
Judy Clapp,computer scientist,Radcliffe College
Elaine Chew,mathematician,Stanford University
Eun Sug Park,mathematician,Seoul National University
Andrea M. Ghez,astronomer,University of Chicago Laboratory Schools
Marie Reynier,engineer,Pierre and Marie Curie University
Louise Pearce,physician,Boston University
Michèle Audin,mathematician,University of Paris
Silvija Seres,computer scientist,INSEAD
Caroline Moore,physician,University College London
Waltraut Seitter,astronomer,Smith College
Dorothea Rhodes Lummis Moore,physician,New England Conservatory of Music
Michèle Audin,mathematician,École normale supérieure de jeunes filles
Halima Benbouza,biologist,Gembloux Agro-Bio Tech
Catherine Annie Neill,physician,UCL Medical School
Yelena Kondakova,engineer,Bauman Moscow State Technical University
Virpi Niemelä,astronomer,National University of La Plata
Ecaterina Andronescu,engineer,Politehnica University of Bucharest
Mary James (scientist),physicist,Hampshire College
Carol Espy-Wilson,computer scientist,Stanford University
Flora Sadler,mathematician,University of Aberdeen
Irena Eris,physician,Humboldt University of Berlin
Michèle Raynaud,mathematician,Paris Diderot University
Marina Morabito,botanist,University of Messina
Brandeis Marshall,computer scientist,University of Rochester
Jennifer McLoud-Mann,mathematician,University of Arkansas
Agata Smoktunowicz,mathematician,University of Warsaw
Ruth Geyer Shaw,biologist,Duke University
Ilene Busch-Vishniac,engineer,Massachusetts Institute of Technology
Hanna Kokko,biologist,University of Zurich
Louise Fresco,engineer,Wageningen University & Research
Eva-Mari Aro,botanist,University of Turku
Xia Peisu,engineer,University of Edinburgh
Aura Carreira Moreno,biologist,Autonomous University of Madrid
Louise A. Lewis,botanist,Ohio State University
Barbara M. Brizuela,mathematician,Harvard University
Silvia Casalino,engineer,Politecnico di Milano
Deborah M. Pearsall,botanist,University of Illinois at Urbana–Champaign
Carme Carretero i Romay,chemist,University of Zaragoza
Neal B. Abraham,physicist,Bryn Mawr College
Beverly Wendland,biologist,Stanford University
Nelli Aghajanova,physician,Yerevan State Medical University
Jessica Ware,biologist,Rutgers University
Patricia Bergquist,biologist,University of Auckland
Emilie Virginia Haynsworth,mathematician,Columbia University
Sirkka-Liisa Eriksson,mathematician,University of Joensuu
Dona Bailey,programmer,University of Arkansas at Little Rock
Beatriz Roldan Cuenya,physicist,University of Oviedo
Ainissa Ramirez,engineer,Stanford University School of Engineering
Ann Nelson,physicist,Acalanes High School
Remziye Hisar,chemist,Istanbul University
Mary Noble,biologist,University of Edinburgh
María Teresa Miras Portugal,biologist,University of Santiago de Compostela
Judith Kersey,engineer,University of Florida
Yūko Kakazu,astronomer,Tohoku University
Hannah Steele Pettit,astronomer,Swarthmore College
Clarice E. Phelps,engineer,University of Texas at Austin
Mary Leontius Schulte,mathematician,University of Michigan
Frances Harshbarger,mathematician,West Virginia University
Rose Frisch,physicist,Smith College
Leslie Hogben,mathematician,Yale University
Martha MacGuffie,physician,Columbia University College of Physicians and Surgeons
Ling Meng,botanist,"University of California, Berkeley"
Yelena Kondakova,engineer,Diplomatic Academy of the Ministry of Foreign Affairs of the Russian Federation
Liivia Laasimer,botanist,University of Tartu
Tamara G. Kolda,mathematician,"University of Maryland, Baltimore County"
Claude Grison,chemist,University of Montpellier
Haesun Park,mathematician,Cornell University
María Luisa Saldún de Rodríguez,physician,Universidad de la República - Udelar
Hélène Frankowska,mathematician,University of Warsaw
Julia Jezierska,chemist,University of Wrocław
Elena Marchisotto,mathematician,"California State University, Northridge"
Jacqueline Lecourtier,chemist,"École nationale supérieure des industries chimiques (ENSIC, Nancy)"
Eliane Elisa de Souza e Azevedo,physician,Universidade Federal da Bahia
Jeanne Hardy,biologist,Utah State University
Jolanta Małyszko,physician,Medical University of Białystok
Louise Eisenhardt,physician,Tufts University
Lidia Prajer-Janczewska,chemist,Adam Mickiewicz University in Poznań
Lisa Piccirillo,mathematician,Boston College
Lisa Piccirillo,mathematician,University of Texas at Austin
Anne Leucht,mathematician,University of Jena
Marianne V. Moore,biologist,Dartmouth College
Mina Aganagic,mathematician,California Institute of Technology
Zhang Zongye,physicist,Peking University
Marinka Baghdasaryan,engineer,National Polytechnic University of Armenia
Soumaya Yacout,mathematician,Cairo University
Débora Peres Menezes,physicist,University of São Paulo
Karen Teff,biologist,McGill University
Sabat Islambouli,physician,Woman's Medical College of Pennsylvania
Rebecca Mercuri,engineer,University of Pennsylvania
Louise Petrén-Overton,mathematician,Lund University
Johannie Maria Spaan,biologist,Tshwane University of Technology
J. Nozipo Maraire,physician,Harvard University
Alexandria Boehm,engineer,California Institute of Technology
Annie McCall,physician,London School of Medicine for Women
Joanna Hoffman,engineer,University of Chicago
Isabella Pringle,physician,University of Edinburgh Medical School
Christine L. Borgman,computer scientist,Stanford University
Betty Harris,chemist,Clark Atlanta University
Valerie Randle,chemist,Cardiff University
Ellen Redi,mathematician,University of Tartu
Mary Sherman Morgan,chemist,Minot State University
Lori Mann Bruce,engineer,University of Alabama
Winifred Brenchley,botanist,University College London
Antonella De Santo,physicist,University of Pisa
Zoya Mironova,physician,I.M. Sechenov First Moscow State Medical University
Mariya Zerova,botanist,Institute of biology of the Taras Shevchenko National University of Kyiv
Marie Lebour,biologist,Durham University
Judith D. Zuk,botanist,Rutgers University
Lucy Mabel Hall-Brown,physician,Milton College
Barbara Ross-Lee,physician,Michigan State University
Sarah Bridle,astronomer,University of Cambridge
Susana Verdugo Baraona,physician,University of Chile
Divya Dhar,physician,The Wharton School
Victoria Cowling,biologist,Emmanuel College
Isabella Karle,chemist,University of Michigan
Alina Romanenko,physician,Kyiv State Medical Institute
Evelyn Miralles,engineer,Lamar University
Doris Stockton,mathematician,Brown University
Alenka Malej,biologist,University of Ljubljana
Helen Dean King,biologist,Vassar College
Maria Folkeson,physician,Karolinska Institute
Ernestina Pérez Barahona,physician,Humboldt University of Berlin
Ann Brickley,engineer,University of Connecticut
Seda Aghbalyan,chemist,Yerevan State University
Mina Aganagic,physicist,California Institute of Technology
Maria Teohari,astronomer,Central Girls' School
Virginia Heinlein,chemist,New York University
Rosaria Perrone,botanist,University of Florence
Türkan Akyol,physician,Erenköy Girls High School
Inger-Lena Hultberg,physicist,Lund University
Christina Rångemark Åkerman,physician,University of Gothenburg
Sylvia Payne,physician,London School of Medicine for Women
Neusa Taroda Ranga,botanist,University of Campinas
Emmeline Moore,biologist,Cornell University
Vivienne Cassie Cooper,botanist,University of Auckland
Christel Marian,chemist,University of Cologne
Chitra Dutta,physicist,University of Calcutta
Louise Duffield Cummings,mathematician,University of Toronto
Nair da França e Araújo,chemist,Universidade Federal da Bahia
Magdalena Fikus,biologist,University of Warsaw
Lillian Louisa Britten,botanist,Rhodes University
Leah Berman,mathematician,University of Washington
Gunilla Rosenqvist,biologist,Uppsala University
Renate Soulen,physician,Woman's Medical College of Pennsylvania
Alexandra Elbakyan,programmer,Georgia Institute of Technology
Türkan Akyol,physician,Ankara University Medical School
Yulia Gel,mathematician,Saint Petersburg State University
Ling Meng,chemist,"University of California, Berkeley"
Susan J. Eggers,computer scientist,"University of California, Berkeley"
Pamela Cook,mathematician,Cornell University
Katharine Blodgett Gebbie,physicist,Bryn Mawr College
Marva Harpak,physician,Bar-Ilan University
Linda Preiss Rothschild,mathematician,University of Pennsylvania
Sara Seager,biologist,University of Toronto
Antoinette Tordesillas,mathematician,University of Adelaide
Heidi Shyu,engineer,"University of California, Berkeley"
Naomi Ginsberg,engineer,University of Toronto
Mary K. Bryan,botanist,Stanford University
Maria Grapini,engineer,Gheorghe Asachi Technical University of Iași
María Teresa Alarcón-Herrera,botanist,University of Windsor
Alina Kabata-Pendias,chemist,Maria Curie-Skłodowska University
Małgorzata Grodzińska-Jurczak,biologist,Jagiellonian University
Mileva Prvanović,mathematician,University of Zagreb
Madhuri Kumari,physicist,University of Otago
Elizabeth Karlin,physician,Antioch University
Dana Moshkovitz,computer scientist,Weizmann Institute of Science
Germaine Kamayirese,engineer,Coventry University
Rose Frisch,physicist,Columbia University
Nancy K. Nichols,mathematician,University of Oxford
Aleksandra Bujakiewicz,engineer,Warsaw University of Technology
Halina Piękoś-Mirek,botanist,Jagiellonian University
Żaneta Polkowska,chemist,"Faculty of Chemistry, Gdańsk University of Technology"
Ann Nelson,physicist,Harvard University
Fabienne Casoli,astronomer,Pierre and Marie Curie University
Julia Brainerd Hall,engineer,Oberlin College
Margaret Grimshaw,mathematician,Newnham College
Frances Northcutt,mathematician,University of Houston
Hélène Bouchiat,physicist,École normale supérieure de jeunes filles
Grace Medes,chemist,University of Kansas
Michal Lipson,physicist,Technion – Israel Institute of Technology
Carolyn Cohen,biologist,Massachusetts Institute of Technology
Barbara Romanowicz,physicist,Harvard University
Franziska Grieder,biologist,University of Zurich
Irene Fonseca,mathematician,University of Lisbon
Yuqing Gao,computer scientist,Southeast University
Flora Philip,mathematician,University of Edinburgh
Fatimat Aslanbievna Tembotova,biologist,Kabardino-Balkarian State University
Susanne Andexlinger,physician,University of Bern
Lisbeth Quesada Tristán,physician,University of Costa Rica
Maria Privitera,botanist,University of Catania
Jennifer Rexford,computer scientist,Princeton University
Monique Simmonds,botanist,"Birkbeck, University of London"
Ellis Reynolds Shipp,physician,Drexel University
Bela Anatolevna Denisenko,physician,Krasnoyarsk State Medical University
Raina Georgiewa,biologist,Sofia University
Rosaura Ruiz Gutiérrez,biologist,National Autonomous University of Mexico
Madeline Nyamwanza-Makonese,physician,University of Zimbabwe
Lilian Ross Fraser,botanist,University of London
Jean Swank,astronomer,California Institute of Technology
Ethel Katherine Crum,botanist,University of California
Verena Huber-Dyson,mathematician,German School of Athens
Marta Sales-Pardo,physicist,University of Barcelona
Jennie Patrick,chemist,"University of California, Berkeley"
Lia Paalme,chemist,Tallinn University of Technology
Yolanda Gil,computer scientist,Technical University of Madrid
Megan Donahue,astronomer,University of Colorado Boulder
Jennifer Strong,physician,Barry University
Jill Tarter,astronomer,"University of California, Berkeley"
Ciska Feekes,biologist,University of Groningen
Gertrude B. Elion,physician,Hunter College
Elina Berglund,physicist,Lund University
Mary P. Dolciani,mathematician,Hunter College
Alexandra Bellow,mathematician,University of Bucharest
Gunn-Vivian Eide,physician,University of Bergen
Lisa Nowak,engineer,United States Naval Academy
Anne-Marie Imafidon,engineer,Johns Hopkins University
Naomi S. Fraga,botanist,"California State Polytechnic University, Pomona"
Sarah Matthews,physicist,University of Glasgow
Marianne V. Moore,biologist,Colorado College
Barbara G. Briggs,botanist,Monash University
Margaret M. Hyland,chemist,University of Western Ontario
Claire Cardie,computer scientist,University of Massachusetts Amherst
María del Socorro González Elizondo,botanist,Universidad Autónoma de Nuevo León
Reidun Twarock,biologist,Clausthal University of Technology
Adrienne Clarke,engineer,Ruyton Girls' School
Anne Tybjærg-Hansen,physician,University of Copenhagen
Dana Randall,engineer,"University of California, Berkeley"
Françoise Brauner,physician,Faculté de médecine de Paris
Anne-Brit Kolstø,biologist,University of Oslo
Jacqueline Barton,chemist,Fu Foundation School of Engineering and Applied Science
Natalia Rozwadowska,biologist,University of Life Sciences in Poznań
Edith Bülbring,biologist,University of Freiburg
Eliška Klimková-Deutschová,physician,Charles University
Mehriban Aliyeva,physician,I.M. Sechenov First Moscow State Medical University
Eléna Wexler-Kreindler,mathematician,Ural State University
Wendy Raymond,biologist,Cornell University
Chien-Shiung Wu,physicist,"University of California, Berkeley"
Janet Abbate,computer scientist,University of Pennsylvania
Evelin Lindner,physician,Goethe University Frankfurt
Sherine Obare,chemist,University of Southern California
Helia Molina,physician,University of Chile
Jennie Patrick,chemist,Tuskegee University
Una Ledingham,physician,London School of Medicine for Women
Wendi Rabiner Heinzelman,computer scientist,Cornell University
Wendi Rabiner Heinzelman,computer scientist,Massachusetts Institute of Technology
Karen I. Goldberg,chemist,Barnard College
Kristine French,botanist,Monash University
Beatriz Domínguez-Gil,physician,Universidad Autónoma de Puebla
Gertrude B. Elion,chemist,Hunter College
Tasha Inniss,mathematician,Xavier University of Louisiana
Nancy A. Roseman,biologist,Smith College
Wendy G. Lehnert,computer scientist,Yeshiva University
Kirsi Lehto,biologist,"University of California, Riverside"
Barbara Boucher Owens,computer scientist,Ohio Wesleyan University
Chuu-Lian Terng,mathematician,Brandeis University
Dorothea Bennett,biologist,Barnard College
Anne Shymer,chemist,Cornell University
Liliana Quintanar Vera,chemist,National Autonomous University of Mexico
Megan Jill Russell,engineer,University of the Witwatersrand
Gladys Elizabeth Baker,botanist,University of Washington
Frances Cave-Browne-Cave,mathematician,Trinity College Dublin
Judith Young,astronomer,Harvard University
Janet Asimov,physician,New York University School of Medicine
Jadwiga Słowińska-Srzednicka,physician,Medical University of Warsaw
Julissa Diez,biologist,Autonomous University of Barcelona
Ruth Gregory,mathematician,Department of Applied Mathematics and Theoretical Physics
Joana Maduka,engineer,Trinity College Dublin
Stefanie Petermichl,mathematician,Michigan State University
Jocelyn Bell Burnell,astronomer,Murray Edwards College
Marie-Jo Thiel,physician,University of Strasbourg
Christine Darden,mathematician,Virginia State University
Marie-Paule Cani,computer scientist,University of Paris-Sud
Nancy Hopkins,biologist,Harvard University
Seetha Coleman-Kammula,chemist,Osmania University
Christine Fong,engineer,University of Hawaii
Margo Cohen,physician,University of Michigan Medical School
Teresa Cohen,mathematician,Johns Hopkins University
Stefi Baum,astronomer,University of Maryland
Helen M. Walker,mathematician,Teachers College
Ann S. Almgren,mathematician,Harvard University
Becky Baltz,engineer,Missouri State University
Irina Malkhasyan,physician,Yerevan State Medical University
Yevgeniya Byelitska,physician,Kyiv State Medical Institute
Cabiria Andreian Cazacu,mathematician,University of Bucharest
Claribel Kendall,mathematician,University of Colorado
Amy Dahan,mathematician,Université Sorbonne Paris Nord
Shoshanah Arad,biologist,Ben-Gurion University of the Negev
Gilah Leder,mathematician,Monash University
Ella Stack,physician,Sydney Medical School
Dagmar Schipanski,physicist,Magdeburg Institute of Technology
Jane Ammons,engineer,Georgia Institute of Technology
Charlotte Fitch Roberts,chemist,Yale University
Isabella Preston,botanist,Ontario Agricultural College
Geraldine L. Richmond,physicist,Kansas State University
Judith Young,physicist,Harvard University
Constance Endicott Hartt,botanist,Mount Holyoke College
Ruth Gregory,physicist,Department of Applied Mathematics and Theoretical Physics
Margaret Harwood,astronomer,Radcliffe College
Catherine D. DeAngelis,physician,Harvard T.H. Chan School of Public Health
Jocelyn Bell Burnell,physicist,Murray Edwards College
Miriam Elizabeth Simpson,physician,"University of California, Berkeley"
Mária Jakubíková,mathematician,Comenius University in Bratislava
Maria Petraccini,physician,University of Ferrara
Maria Petraccini,physicist,University of Ferrara
Aurelia Woźnicka,chemist,Częstochowa University of Technology
Betty Harris,chemist,University of New Mexico
Kathryn S. McKinley,computer scientist,University of Massachusetts Amherst
Kim E Jelfs,chemist,University College London
María Roldán Castros,biologist,University of Madrid
Elmer Lucille Allen,chemist,Spalding University
Cather Simpson,physicist,University of New Mexico
Sheeri Cabral,computer scientist,Brandeis University
Margarete Kahn,mathematician,University of Göttingen
Elizabeth Monroe Boggs,chemist,University of Cambridge
Zuzana Šimkovicová,physicist,Comenius University in Bratislava
Edith Jacobson,physician,Ludwig Maximilian University of Munich
Päivi Räsänen,physician,University of Helsinki
Anuradha Annaswamy,computer scientist,Yale University
Ljerka Glonar,physician,"School of Medicine, University of Zagreb"
Sylvie Retailleau,physicist,École normale supérieure Paris-Saclay
Jana Hajšlová,chemist,Q24282759
Anna Estelle Glancy,astronomer,"University of California, Berkeley"
Stella Chess,physician,Ethical Culture Fieldston School
Sarah Milkovich,astronomer,Phillips Exeter Academy
Marion Delf-Smith,botanist,University of London
Judith Steinberg Dean,physician,Princeton University
Tomoko Ohta,biologist,University of Tokyo
Elise Harmon,chemist,University of Texas at Austin
Geraldine L. Richmond,chemist,Kansas State University
Frances A. Rosamond,computer scientist,Cornell University
Corinna Cortes,computer scientist,University of Rochester
Hatice Altug,physicist,Stanford University
Lisa Fauci,mathematician,Pace University
Millicent A Comrie,physician,Columbia University Mailman School of Public Health
Bonnie Bartel,botanist,Bethel College
Joan Moschovakis,mathematician,University of Wisconsin–Madison
Ma Saw Sa,physician,Royal College of Physicians of Ireland
Marie Curie,physicist,X LO im. Królowej Jadwigi in Warsaw
Mall Reeben,chemist,Miina Härma Gymnasium
Cynthia Bathurst,mathematician,University of Alabama
Kathryn C. Thornton,physicist,Sidney Lanier High School
Pascale Ehrenfreund,astronomer,University of Paris
Mai Gehrke,mathematician,University of Houston
Christine Hamill,mathematician,Stephen Perse Foundation
Margaret Tait,physician,Experimental Centre of Cinematography
Barbara Ross-Lee,physician,Wayne State University
Sevda Jafarova,physician,Q19713501
Maria Stankiewicz,biologist,Nicolaus Copernicus University in Toruń
Marjorie Hahn,mathematician,Stanford University
Mireille Martin-Deschamps,mathematician,University of Paris-Sud
Alison Woollard,biologist,University of London
Sharon Hammes-Schiffer,physicist,Princeton University
Alice S. Whittemore,mathematician,Marymount Manhattan College
Katherine Belov,biologist,Macquarie University
Agnes Arber,biologist,North London Collegiate School
Elizabeth Scott Matheson,physician,University of Manitoba
Zhenan Bao,chemist,University of Chicago
Elise Harmon,chemist,University of North Texas
Lin Lanying,physicist,University of Chicago
Ellen Joan Kumaat,engineer,Institut Teknologi Bandung
Helen Porter,biologist,University of London
Amanda Chessell,engineer,University of Plymouth
Tomoko Ohta,biologist,North Carolina State University
Kate O'Brien,physician,University of Toronto
Katalin Cseh,physician,Eötvös Loránd University
Geneviève Comte-Bellot,physicist,Grenoble Alpes University
Lynne Butler,mathematician,Massachusetts Institute of Technology
Christina Agapakis,biologist,Yale University
Marjorie Violet Mussett,biologist,University of London
Simone Badal-McCreath,chemist,University of Wales
Marie Curie,chemist,X LO im. Królowej Jadwigi in Warsaw
Ma. Assunta Cuyegkeng,chemist,Ateneo de Manila University
Christine Mannhalter,biologist,University of Vienna
Ruth L. Kirschstein,physician,Tulane University
Claudia Alexander,astronomer,"University of California, Berkeley"
Monika Henzinger,computer scientist,Princeton University
Helen Murray Free,chemist,Central Michigan University
Ping Zhang,mathematician,Michigan State University
Dorete Bloch,biologist,Aarhus University
Frederica D. Detmers,botanist,Ohio State University
Wilmatte Porter Cockerell,botanist,Stanford University
Amanda Chessell,engineer,University of Brighton
Teguest Guerma,physician,Johns Hopkins University
Alice Woodby McKane,physician,Woman's Medical College of Pennsylvania
Sharon Hammes-Schiffer,chemist,Princeton University
Judith Vaitukaitis,physician,Boston University School of Medicine
Kate O'Brien,physician,Johns Hopkins Bloomberg School of Public Health
Alice H. Farnsworth,astronomer,University of Chicago
Conny Aerts,astronomer,Université catholique de Louvain
Alexandra Illmer Forsythe,computer scientist,Vassar College
Conny Aerts,mathematician,Université catholique de Louvain
Julia R. Burdge,chemist,Iowa State University
Ginestra Giovene,physicist,Sapienza University of Rome
Marta García-Matos,physicist,Autonomous University of Madrid
Vinita Marwaha Madill,astronomer,Cranfield University
Laura Mersini-Houghton,physicist,University of Maryland
Louise Rickard,biologist,"University of California, Irvine"
Mary Shore Walker,mathematician,University of Missouri
Maria Iovu,physicist,Technical University of Moldova
Joanna S. Fowler,chemist,University of Colorado Boulder
Cristiane Snak,botanist,Universidade Federal do Paraná
Cordelia Schmid,computer scientist,Karlsruhe Institute of Technology
Katrin Wendland,mathematician,University of Bonn
Rita Elissaiou Komodiki,physician,University of Leeds
Charlotte Blake Brown,physician,Elmira College
Violetta Patroniak,chemist,Adam Mickiewicz University in Poznań
Karen Ibasco,physicist,University of Santo Tomas
